# 2023/12/04 - 15:38 | PDB: 48.23 | UniProt: 2024.01
PDB	CHAIN	SP_PRIMARY	SF_DOMID	FA_DOMID
5b3i	A	F7J213	8068611	8068610
3vrc	B	C7G528	8068613	8068612
4hpm	A	Q5H9F3	8055979	8045762
2ev1	A	P9WMU9	8092578	8045994
2l21	A	F1NVD2	8076879	8076878
2bay	A	P32523	8037831	8025452
1chc	A	P28990	8039289	8026910
4h0a	B	A0A0H3JR67	8092116	8050052
2j9g	A	P24182	8034649	8022269
1auv	A	P17599	8044239	8031861
1xvl	A	Q79EF9	8033925	8021545
1pq4	B	P73085	8039073	8026694
5koh	A	A9H5W5	8069051	8069050
4nno	A	A0A0H3JTS7	8074578	8074577
4mx8	C	D1BRG9	8084596	8084595
4blc	A	P00432	8037382	8025003
1gwe	A	P29422	8039217	8026838
2isa	A	Q3LSM1	8068989	8068988
6nsz	A	Q9C169	8105171	8105170
2pu9	B	Q55781	8036078	8023698
4fm4	B	J9PBS1	8077355	8077354
2n5u	A	Q8DLG9	8092323	8045882
6kmx	aE	A0A1Z3HI16	8093956	8093955
7coy	aE	B0C5D5	8102817	8102816
6a7k	A	Q8DL61	8103000	8083119
6vpv	e	K9Z0X2	8103777	8103776
7kux	E	A9SPD7	8107220	8107219
1zbp	A	Q87HD3	8035533	8023153
2jr6	A	A1IQS5	8085508	8085507
4v51	BI	Q5SLQ1	8042934	8030555
2hj1	A	Q4QNE7	8034217	8021837
2l52	A	Q8TIQ6	8087473	8087472
2k9x	A	Q583L0	8088558	8088557
4idi	A	Q7RAS9	8088560	8088559
3thx	A	P43246	8056705	8056704
1g4i	A	P00593	8032559	8020179
1gmz	B	P58464	8036057	8023677
1pp2	R	P00624	8038963	8026584
2not	A	P00609	8039005	8026626
1god	A	P81165	8039067	8026688
3g8h	A	P11407	8062705	8062704
1b4w	A	O42187	8062715	8062714
3dih	A	P17935	8062723	8062722
4rfp	A	P82896	8062733	8062732
2h8i	A	Q90249	8062735	8062734
2aoz	A	P82950	8062745	8062744
1m8r	A	O42191	8062765	8062764
3v9m	A	P04056	8062771	8062770
1y75	B	Q5G290	8062773	8062772
3mde	A	P41367	8037423	8025044
1r2j	A	Q9KIE5	8040256	8027877
1t50	A	O96910	8041686	8029307
1npp	A	O67757	8033541	8021161
2zjr	M	Q9RWB4	8038569	8026190
2do3	A	O00267	8039849	8027470
4v6x	AE	P62701	8052757	8044895
3kbg	A	Q56230	8052783	8052782
5t5h	a	Q9U4H7	8053049	8049503
5it7	ZZ	Q6CPN9	8053054	8049508
3jcs	Y	E9BP34	8053056	8049510
2n1a	B	Q92793	8081302	8081301
3mv2	A	P53622	8095922	8085259
4ccg	X	Q9NW38	8095995	8046995
2fd4	A	Q8RSY1	8101164	8051436
7c96	B	A0A445HLW5	8102607	8102606
7eju	B	Q6IVU5	8103997	8103996
1t15	A	P38398	8041661	8029282
3t7k	B	P38850	8090389	8046129
3ueo	A	Q92547	8092287	8092285
2b2y	C	O14646	8037567	8025188
2bud	A	O02193	8038630	8026251
2f5k	A	Q9UBU8	8040640	8028261
2epb	A	Q8TD26	8062265	8062264
5epl	B	O00257	8062999	8062998
3fdt	A	P45973	8063001	8063000
3h91	A	Q14781	8066171	8066170
4x3u	B	Q8VDS3	8072501	8072500
2ee1	A	Q14839	8072503	8072502
4xqj	D	Q5HEG2	8092313	8045871
3d6w	A	Q73A38	8092315	8045873
4g4k	A	P0A0I7	8092318	8045874
1z32	X	P0DUB6	8035122	8022742
1hl9	B	Q9WYE2	8035876	8023496
1lwh	A	P80099	8041485	8029106
1bli	A	P06278	8042874	8030495
2aaa	A	P56271	8042904	8030525
3m46	A	A5ZY13	8090466	8090465
3l4u	A	O43451	8093223	8093222
5kzw	A	P10253	8093239	8093238
5m99	A	A0A059TXD8	8100962	8100961
3dc0	A	B3GQD0	8100974	8100973
4hoz	A	D9MPF2	8100984	8100983
4h8v	A	M1E1F6	8100998	8100997
6aav	A	Q76LB0	8101032	8101031
5do8	B	Q8YAE6	8101038	8101037
3hje	A	Q973H2	8101040	8101039
4pt2	A	Q1D6H4	8054153	8045958
1g6s	A	P0A6D3	8035777	8023397
3hna	A	Q9H9B1	8004150	8004149
3ep0	A	Q9H4Q4	8088211	8088210
1xu4	A	O73948	8018163	8018162
2csb	A	Q977W1	8039247	8026868
2csb	A	Q977W1	8039251	8026872
1pzn	A	O74036	8056633	8056632
4v8m	Bv	Q389K1	8053104	8048637
4v3p	LG	Q5I7L4	8053107	8048636
4v7r	BX	P05743	8076760	8076759
4v6w	CY	Q9VVU2	8076762	8076761
5myj	BS	A2RLS5	8082421	8082420
5v93	P	A0A045IDD2	8082429	8082428
6ogg	p	D7ZKU3	8093540	8093539
6v3d	O	B7IAS9	8094729	8094728
6spd	U	E2RXT7	8094791	8094790
6lkq	c	F4TL32	8097766	8097765
6swa	W	Q4FZH2	8098808	8098807
7nhn	X	Q8Y443	8103184	8103183
7s1k	X	V0AJX1	8106370	8106369
7otc	U	A0A140N5L7	8107422	8107421
2hqv	A	Q7CX01	8042393	8030014
1nr0	A	Q11176	8033548	8021168
1nex	B	P07834	8043777	8031399
5lqw	X	Q04693	8052529	8044841
4pc0	B	Q09028	8053350	8047410
4psw	B	P39984	8053351	8047411
2aq5	A	O89053	8055775	8045298
4v5o	AR	Q24D42	8101609	8101608
7r81	h2	Q01369	8105836	8105835
4ui9	R	Q9UM11	8106390	8048073
1a92	A	P25989	8039661	8027282
5kwb	A	Q5MQD0	8092653	8092652
7lm9	A	D2E265	8102837	8102836
7tty	A	U5WI05	8107708	8107707
4v4w	BF	P0A7R1	8032960	8020580
6v3b	H	B7IBC3	8094703	8094702
1k8f	A	Q01518	8032349	8019969
1iq4	A	P08895	8034156	8021776
5o60	F	A0QSG1	8073880	8073879
5aff	C	G0SHQ2	8077505	8077504
6az3	D	A0A3S5H5A8	8077509	8077508
6ys3	f	P62399	8096352	8096351
6o8w	F	A0A1B4XKS2	8096440	8096439
6xiq	J	A0A6A5PYM2	8096932	8096931
6swa	J	Q9CXW4	8100470	8100469
7s1k	N	A0A829CFT8	8106114	8106113
7qep	M1	Q8SSG9	8106627	8106626
5zji	X	P12329	8076978	8076977
2byv	E	Q9EQZ6	8004415	8004411
1dvp	A	Q960X8	8038656	8026277
1ujk	A	Q9UJY5	8041836	8029457
2km4	A	Q05543	8053995	8046498
3ldz	A	Q92783	8066261	8066260
5ucc	A	A0A1D8PGB7	8067882	8067881
5ahv	E	Q12518	8067888	8067887
6xkb	C	O95104	8102405	8102404
1p5d	X	P26276	8038239	8025860
3p57	P	Q09472	8081308	8081307
3vth	A	Q8RDB0	8004422	8004421
1x0p	A	Q8DMN3	8033503	8021123
1gxt	A	P30131	8042299	8029920
4g9i	A	Q5JII4	8092446	8049601
3vth	A	Q8RDB0	8004431	8004430
1hru	A	P45748	8004456	8004455
3ttc	A	A0A0H3JHT3	8092438	8049602
5b66	j	Q7DGD4	8099970	8099969
7rcv	j	P73070	8106244	8106243
2iec	A	Q8TX89	8042704	8030325
1xwn	A	Q9Y3C6	8033930	8021550
6hmz	X	A0A078GRH6	8065045	8065044
2hq6	A	Q6UX04	8065083	8065082
2nnz	A	O28042	8089528	8089527
2b1y	A	A9CIG4	8037536	8025157
4ok9	A	A4IK89	8076682	8076681
1nj8	A	Q58635	8033363	8020983
2gks	A	O67174	8018723	8018722
1v8f	A	Q5SHF5	8035607	8023227
2rd2	A	P00962	8036813	8024434
1rqg	A	Q9V011	8038902	8026523
1k4m	A	P0A752	8042710	8030331
5ijx	A	C5P455	8060036	8060035
6j3m	A	A0A059ZFC5	8064671	8064670
1y42	X	P12063	8070075	8070074
3n9i	A	Q8ZJF2	8070081	8070080
2el7	A	Q5SIY7	8070091	8070090
4ymi	A	B1MMZ4	8074882	8074881
3uk2	A	Q2T095	8079944	8079943
3mxt	A	Q9PIK2	8079948	8079947
4dnx	A	O66036	8089789	8089787
6kkw	A	B0V8I3	8094923	8094922
3hzr	C	C4LUB5	8097414	8097413
5z9r	B	Q99JR6	8100434	8100433
5x6f	E	Q9I6D1	8100538	8100537
7sc6	B	V7CJ18	8105974	8105973
7elt	A	A0A045IZS3	8106461	8106460
1q7f	A	Q8MQJ9	8039810	8027431
2bb0	A	P42084	8033539	8021159
4xk8	2	Q41038	8076998	8076997
4y28	4	Q9SQL2	8077000	8076999
6igz	0	A0A4V8H004	8096872	8096871
6ijj	a	Q05093	8099102	8099101
6l35	6	A0A2K1JLZ3	8102345	8102344
7oui	7	Q39142	8103981	8103980
7e0k	V	Q9ZSJ4	8104025	8104024
7wg5	A6	Q8LCQ4	8106984	8106983
2j85	A	Q6Q0K9	8043054	8030675
3npp	A	P54940	8086856	8086855
2je6	B	Q9UXC2	8034679	8022299
3r50	E	P93193	8083692	8083691
5bn6	E	Q38720	8086724	8086723
1o17	D	P50384	8043957	8031579
1ax8	A	P41159	8037082	8024703
1irl	A	P60568	8037109	8024730
1au1	A	P01574	8037119	8024740
1d9c	A	P07353	8037121	8024742
3bes	L	P01579	8039129	8026750
1lqs	L	P17150	8041432	8029053
5d22	B	P28773	8071888	8071887
5knh	I	Q0PW92	8080319	8080318
1h6w	A	P10930	8044403	8032025
4hiz	B	I7HXG2	8052097	8052095
3vto	B	Q9T1V4	8095957	8079914
2hu7	A	Q9YBQ2	8042437	8030058
2xi1	A	C6KEI3	8086602	8086601
1xi6	A	Q8TZH9	8043923	8031545
5a5l	A	Q8DJE9	8075285	8075284
4as5	A	O55023	8079745	8079744
1ihw	A	P04586	8041679	8029300
1c0m	A	P03354	8041682	8029303
6t6j	C	Q75002	8096628	8096627
1uur	A	O00910	8035135	8022755
1bf5	A	P42224	8037577	8025198
1lrw	A	P12293	8036247	8023867
4mae	A	I0JWN7	8076952	8076951
2eyq	A	P30958	8040336	8027957
1j8f	A	Q8IXJ6	8034236	8021856
2p53	A	P0AF18	8035374	8022994
3mkv	A	B2T4I1	8036664	8024285
1k1d	A	Q45515	8040063	8027684
1o12	A	Q9WZS1	8043944	8031566
3g5u	A	P21447	8018413	8018411
3b60	A	P63359	8057793	8018374
2v7q	H	P05630	8037352	8024973
2vf7	A	Q9RYW8	8018532	8018524
4mo1	A	P03047	8102245	8051745
1gl2	A	Q9WUF4	8035943	8023563
1gl2	C	O88384	8035946	8023566
3b5n	B	P32867	8038826	8026447
1l4a	A	P47194	8041039	8028660
1pd0	A	P40482	8038531	8026152
3ufc	X	Q8U3R3	8052183	8049677
3pkm	A	Q8U1S4	8052185	8049678
3pkm	A	Q8U1S4	8052186	8049678
4c97	A	Q5SM65	8052195	8051423
1uj6	A	Q72J47	8040897	8028518
1lk5	A	O50083	8041336	8028957
1szq	A	P77243	8041638	8029259
1twf	F	P20435	8042688	8030309
6exv	F	F1SKN8	8078375	8078374
7tim	A	P00942	8043188	8030809
3qsr	A	A2EGX9	8061662	8061661
3krs	A	Q5CSE7	8061668	8061667
4y8f	A	Q8XKU1	8061676	8061675
5css	A	Q9HLB6	8082619	8082618
6ooi	C	P48501	8094795	8094794
6oog	A	Q9GTX8	8094903	8094902
2p84	A	Q4ZC86	8035455	8023075
1x8y	A	P02545	8043778	8031400
3tnu	B	P13647	8070586	8070585
5b5e	t	P12313	8101519	8101518
2ii1	C	Q9KGN3	8089370	8089369
9wga	A	P02876	8038021	8025642
2g6b	A	Q9ULW5	8057294	8057293
2gjs	A	P55042	8057398	8057397
3tso	A	P57735	8057460	8057459
2ffq	A	Q9NRW1	8057474	8057473
2efc	B	Q9SN68	8057484	8057483
3a1s	A	Q9WXQ8	8058051	8019398
3b1v	A	Q5M586	8058456	8058455
3snh	A	Q05193	8058465	8058464
3bfk	B	Q76NM4	8060198	8060197
3aq4	A	P36397	8060243	8060242
1vg8	C	P09527	8079222	8079221
2cxx	A	O57939	8086110	8086109
6d4g	A	P81128	8089032	8089031
1yzl	A	Q9R0M6	8089842	8089841
1o3y	A	P84078	8089852	8089851
3tr5	B	Q83DC7	8092481	8092478
3llu	A	Q9HB90	8093371	8046297
6s5f	A	Q96DA2	8100390	8100389
6y09	A	Q9H082	8100496	8100495
1f99	A	P59858	8032989	8020609
1h97	A	P80721	8033040	8020660
1a6m	A	P02185	8035604	8023224
1faw	A	P01989	8035637	8023257
1dly	A	Q08753	8035691	8023311
3rgk	A	P02144	8035803	8023423
2qfk	A	Q9NAV8	8035913	8023533
1spg	A	P56250	8036058	8023678
2qls	B	P60524	8036082	8023702
1hlb	A	P80018	8036246	8023866
1phn	A	P00306	8036254	8023874
1cpc	B	P07119	8036259	8023879
1b33	B	P00318	8036264	8023884
1lia	A	P84861	8036271	8023891
1oj6	A	Q9NPG2	8037518	8025139
1wmu	A	P83134	8041767	8029388
1shr	B	P02042	8042339	8029960
2r80	A	P21871	8060956	8060955
2rao	A	P01948	8060990	8060989
3wr1	B	P10782	8061010	8061009
2r1h	B	P02141	8061036	8061035
2qu0	B	P02075	8061044	8061043
5ohe	F	A7HD43	8061817	8061816
3jbn	A5	O97250	8052931	8050356
2d1k	C	O43312	8052985	8050004
5myj	AS	A2RNQ1	8086066	8086065
5ngm	As	A0A077V0P8	8096100	8096099
6ys5	t	D0CD01	8097496	8097495
7jil	x	A0A1M5L8S8	8101952	8101951
4v48	BS	P0A7U6	8102124	8102123
7oif	w	F4VJV7	8106160	8106159
4hp3	C	A0JP82	8053018	8049712
3pt6	B	P13864	8053024	8049704
6asd	C	Q8NFU7	8059535	8059534
5xy3	b	A2DM33	8097038	8097037
6d90	U	G1TSG1	8061156	8061155
7rr5	LU	A0A6L0ZZW6	8105638	8105637
7q08	5	A0A1D8PM41	8107500	8107499
1sxj	E	P38251	8039775	8027396
5ngm	Au	A0A077UHS1	8096096	8096095
7m4y	u	A0A0Q7FMS9	8103036	8103035
6s13	u	A0A085UG84	8106768	8106767
1uz5	A	O58335	8035325	8022945
2f7w	A	Q8EKM7	8040642	8028263
3oi9	A	A0A0H2ZWD1	8076171	8076170
2f23	A	Q72JT8	8040479	8028100
2okg	B	O32253	8035102	8022722
1ks2	A	P0A7Z0	8040597	8028218
2g40	A	Q9RT57	8041647	8029268
1m0s	A	P44725	8043154	8030775
3kv1	A	Q5E0H6	8058685	8058684
3hn6	A	O30564	8074890	8074889
3cdk	B	P42316	8098686	8098685
7lqm	D	Q9CMF4	8106332	8106331
4zkj	B	J7M1H5	8053182	8049658
1cli	A	P08178	8036492	8024113
1zv9	A	Q7WYN3	8036301	8023922
2bm3	A	P71143	8038326	8025947
2xbd	A	P54865	8040184	8027805
1nbc	A	Q06851	8040185	8027806
2rtt	A	Q9Z9M8	8073525	8073524
4b9p	A	A3DC27	8084487	8084486
5dni	A	Q58034	8063854	8063853
5xxu	B	B9PGG2	8059218	8059217
5t2a	0	E9BRS2	8059220	8059219
7r81	C2	Q871N9	8105920	8105919
2g77	A	Q08484	8041720	8029341
5gjq	U	P51665	8053251	8048099
1i6u	A	P54041	8033701	8021321
3j9w	AH	P12879	8079051	8079050
6eri	BH	P09597	8079063	8079062
4v6w	AW	P48149	8079083	8079082
7nso	h	H4JDM0	8104281	8104280
7kgb	h	P9WH27	8106250	8106249
3jb9	X	O94508	8090874	8048225
2cs7	A	A0A0H2UQ89	8039245	8026866
4v63	B2	Q72I12	8076744	8076743
6osk	Y	A0A1X3JBH6	8096576	8096575
7otc	Y	A0A140N7F5	8107442	8107441
5yh4	A	D7TY99	8097612	8097611
6s2z	A	Q7GDB3	8099976	8099975
3mp7	B	Q8TZK2	8100258	8100257
6hpn	A	C0RC68	8094569	8094568
1s7z	A	P03775	8041471	8029092
1nz6	A	Q27974	8033756	8021376
1fpo	A	P0A6L9	8036312	8023933
2lgw	A	P25686	8073767	8073766
2lo1	A	P31689	8073779	8073778
2yua	A	Q96LL9	8073785	8073784
3ag7	A	Q9C9Q4	8085261	8085260
1n67	A	Q53653	8033058	8020678
3opu	A	P11657	8053848	8045460
4z3g	A	A0A182DW20	8085480	8085479
7szo	L	A0A1M0WRP3	8106034	8106033
1vqo	E	P14135	8032625	8020245
3t5v	C	O94742	8053395	8046892
1cz5	A	O05209	8034906	8022526
3b3f	C	Q4AE70	8053423	8046937
5dx1	B	Q86X55	8053427	8046933
1ori	A	Q63009	8053430	8021886
3mq1	D	P14004	8053434	8046820
1ttw	A	Q7BTX0	8040426	8028047
1k6z	A	P31491	8079924	8079923
5z38	C	Q47015	8082320	8082319
2gtl	N	Q2I743	8042061	8029682
1nee	A	O27797	8036795	8024416
4hea	S	Q56226	8053512	8047739
5lnk	J	O78757	8053518	8047846
6cfw	G	I6UZU1	8093353	8093352
6cfw	D	Q8U104	8093355	8093354
7a23	K	Q04614	8101595	8101594
4he8	A	Q56217	8106702	8047839
7old	Se	Q2H4C5	8106280	8106279
1wjw	A	Q9CYR6	8043621	8031243
2fvt	A	Q6N5Y9	8041409	8029030
4v8m	Bj	Q383V6	8053536	8048732
5xy3	g	A2FWA1	8097058	8097057
4v3p	Li	Q5I7K8	8099600	8099599
7o81	Bg	G1TXG5	8103328	8103327
2l5g	A	Q13227	8053468	8044845
2i5n	M	P06010	8042561	8030182
6wj6	A	P16033	8098522	8098521
4n4r	C	Q8ZRW0	8053493	8045950
1t6t	1	O67859	8040047	8027668
1bjt	A	P06786	8055749	8055748
5btl	D	P9WG45	8090033	8048546
4v6w	Ck	Q9W5N2	8053566	8049539
3jbn	Ad	Q8II62	8053570	8049536
7qwq	k	B5FYZ2	8106898	8106897
1txc	A	Q6T6J0	8032656	8020276
1wql	A	Q51743	8033232	8020852
2nn5	A	Q832L1	8034790	8022410
1icx	A	P52778	8039568	8027189
6alk	A	B7TWE6	8063059	8063058
3ie5	A	Q8H1L1	8063077	8063076
6v8s	H	B0YIU5	8102058	8102057
6y3k	A	Q9FPK3	8102507	8102506
2lna	A	Q9Y4W6	8053579	8048291
1mpy	A	P06622	8034933	8022553
1mpy	A	P06622	8034934	8022554
1cjx	A	P80064	8034938	8022558
1sqi	A	P32755	8039691	8027312
1t47	A	Q53586	8039965	8027586
1twu	A	P37479	8040505	8028126
1xrk	A	P17493	8044140	8031762
6bu2	A	L7N6B1	8095799	8095798
2z5b	A	Q12245	8053561	8044867
4ip8	B	P0DJI8	8053506	8047608
6ahy	B	P56703	8093179	8093176
2a6s	A	P69348	8036678	8024299
2hx6	A	P13312	8090764	8045469
4z4d	A	Q9UKV8	8053594	8045669
4ncb	A	Q746M7	8053636	8053632
1u04	A	Q8U3D2	8091464	8091462
3zh7	A	P43961	8053593	8046084
6gut	B	A4MX90	8094307	8094306
1edy	A	Q63041	8040211	8027832
2plh	A	P01544	8038644	8026265
4r1i	A	Q9RNX2	8053701	8044891
5l24	C	G4CRQ5	8088907	8088906
1k8k	D	Q3MHR7	8037899	8025520
7aqk	f	P59999	8103396	8103395
6bgg	B	Q15059	8053740	8053739
4m5d	B	P25368	8053722	8048121
4tmp	C	P42568	8053743	8051394
7f5m	A	Q99314	8106988	8106987
2e74	D	P83794	8039996	8027617
1zrt	R	P0CY48	8052871	8044809
3qfi	A	Q838I2	8053764	8044926
4obm	A	B0MNI4	8053768	8053765
1nol	A	P04253	8038049	8025670
1hu8	A	P02340	8033311	8020931
1a3q	A	Q00653	8040231	8027852
2eoc	A	Q9Y6F1	8074104	8074103
3cx5	D	P07143	8040305	8027926
1r8i	A	Q9L6G5	8040445	8028066
4fe9	A	G8JZS6	8053841	8053838
2p02	A	P31153	8035289	8022909
4l3u	A	B0V6M1	8053853	8044945
1gnt	A	P31101	8055610	8026387
1ru3	A	P83789	8055627	8028544
1p49	A	P08842	8055772	8025802
6b0j	B	A0A063KPH1	8090547	8081863
2qtv	A	P15303	8036412	8024033
2k89	A	Q9Y263	8055783	8051478
5l05	A	Q3JNW6	8032924	8020544
1qgj	A	Q39034	8038280	8025901
1pa2	A	Q42578	8038281	8025902
2cca	A	P9WIE5	8038655	8026276
4blk	A	Q9UR19	8079572	8079571
1qpa	A	P11542	8079576	8079575
6y3c	A	P23219	8098586	8098585
5f1a	A	P35354	8098642	8098641
1yif	A	P94489	8034538	8022158
1oyg	A	P05655	8037882	8025503
6b7k	A	Q65GB9	8083714	8083713
4nov	A	E0RYY0	8083726	8083725
5glp	A	A0A0H5BL38	8096246	8096245
1st8	A	Q93X60	8105330	8105328
2h62	A	P12643	8042164	8029785
5tx2	A	P27090	8070305	8070304
5f3h	I	O14793	8070309	8070308
7aml	C	Q98TU0	8102212	8102211
6l6r	C	Q9BQB4	8106455	8047246
3tek	A	H0USY6	8055799	8055798
1jro	B	O54051	8037296	8024917
4o3m	A	P54132	8055801	8055800
2psp	A	P01359	8038720	8026341
1jb0	B	P0A407	8034274	8021894
4y28	A	P05310	8074458	8074457
7coy	aA	B0C474	8102813	8102812
7s3d	G	B4WP20	8105710	8105709
7f4v	aA	Q7NFT6	8107298	8107297
5nrl	M	Q00723	8055810	8055809
2fur	A	Q9HIG7	8041381	8029002
1vl7	A	Q8YMA7	8041436	8029057
1w98	B	P24864	8032436	8020056
1w98	B	P24864	8032437	8020057
1ais	B	P61999	8037944	8025565
2cch	B	P20248	8038665	8026286
1unl	D	Q15078	8042885	8030506
2phg	A	Q00403	8043882	8031504
1n4m	A	P06400	8044065	8031687
2v0p	A	Q04372	8053872	8045508
1iwg	A	P31224	8042534	8030155
3h1h	T	D0VX32	8073735	8073734
3f7c	A	A1TZ69	8053890	8045584
3j6b	3	P36526	8053894	8045632
2kw6	A	O14519	8053891	8045626
4lb8	A	Q8A2T3	8053896	8044955
2iy5	A	Q5SGX2	8042905	8030526
3w8m	A	G3XD33	8085666	8085665
1ud9	A	Q975N2	8040783	8028404
1rwz	A	O29912	8040967	8028588
3a1j	A	Q99638	8056955	8045415
3hsl	X	Q77ZG5	8103597	8046693
4f3e	A	Q53VY1	8053927	8044961
1qhf	A	P00950	8032225	8019845
1v37	A	Q53WB3	8042970	8030591
7d2f	A	Q5ZWG6	8104327	8104326
5a3g	A	D3XDN8	8053944	8046100
4u7u	O	P76632	8053946	8044971
5ijo	J	Q5SRE5	8053964	8044976
5hb1	A	G0S7B6	8090956	8051187
2fyu	K	P07552	8032884	8020504
5j8k	AV	A0A6P3EDZ8	8107762	8107761
5aon	B	Q8IEW2	8053961	8046332
5yx3	A	G4U3G8	8079482	8079481
2je3	A	Q50927	8092630	8046001
2bpa	3	P69592	8053968	8046366
1e2w	A	P23577	8040246	8027867
5ngm	A3	A0A077UL47	8083332	8083331
4v61	B5	P23326	8083340	8083339
6o8w	5	A0A1B4XM73	8096472	8096471
6vyu	o	E1IKL4	8097662	8097661
7tos	L35	A0A0E1M2J4	8107364	8107363
1t95	A	O29759	8040093	8027714
2jya	A	A9CIL3	8053977	8046467
6rfq	Y	Q6CEK9	8099784	8099783
6cn2	A	Q503I3	8083252	8083251
3kre	A	Q2GHH2	8089516	8089515
1nty	A	O75962	8037951	8025572
1by1	A	Q14155	8057882	8018811
3eo2	A	Q7Z628	8084999	8084998
5qqh	B	O60229	8093836	8093835
1ixb	A	P00448	8042545	8030166
6n9m	A	Q8ZPL9	8100312	8100311
1j72	A	P40121	8032271	8019891
1d0n	A	Q28372	8036071	8023691
1ak7	A	P60982	8036090	8023710
1vkk	A	Q9ERL7	8041394	8029015
2olr	A	P22259	8055992	8018029
2faf	A	P21642	8056011	8056009
1js8	A	O61363	8037337	8024958
1ovm	A	P23234	8034390	8022010
2ji7	A	P40149	8034663	8022283
2c42	A	P94692	8039273	8026894
2ez9	A	P37063	8040356	8027977
2g25	A	P0AFG8	8041598	8029219
1r9j	A	Q8MPM3	8042199	8029820
1w85	B	P21874	8043324	8030945
3ai7	G	Q6R2Q7	8052435	8044756
3ai7	G	Q6R2Q7	8052436	8045120
2jgd	A	P0AFG3	8093314	8093312
2jgd	A	P0AFG3	8093315	8093313
1iio	A	Q04926	8036614	8024235
3j7y	L	Q6P1L8	8072072	8072071
6ysi	G	D0CD07	8097506	8097505
6vz3	t	D7Z9G5	8097626	8097625
4v48	AI	P0ADY4	8098412	8098411
6wd8	k	V0AIT6	8100862	8100861
7azy	c	P0CX41	8103364	8103363
7m4v	J	B7IA29	8104263	8104262
7rr5	LV	A0A6L0Z7E4	8105628	8105627
1djr	D	P32890	8041780	8029401
1an8	A	Q8NKX2	8041885	8029506
1fnu	A	P0DJY8	8041896	8029517
2hj9	C	P54302	8033052	8020672
2p7j	A	Q87SR8	8035449	8023069
4u65	D	Q5ZXA3	8053817	8045601
3t4s	A	Q9C5U0	8057003	8045159
1ni7	A	P0AGF2	8033337	8020957
1su0	B	Q9A1G2	8039694	8027315
1wfz	A	Q9D7P6	8043514	8031136
3lvl	A	P0ACD6	8064482	8064481
6a6f	B	A0A1B0VLW5	8095707	8095706
7c8n	A	A0B757	8103300	8103299
1mr7	A	P50870	8036503	8024124
3bsy	A	Q0P9D1	8039473	8027094
1t3d	A	P0A9D4	8039925	8027546
1xat	A	P26841	8042993	8030614
2jf2	A	P0A722	8043123	8030744
2oi6	A	P0ACC7	8043454	8031076
3fsy	C	P9WP21	8052856	8050591
3hsq	A	Q8EZA6	8063352	8063351
3t57	A	Q9SU91	8063354	8063353
4ihf	E	P21645	8091508	8091507
6jvu	A	A6TFK2	8093778	8093777
3gvd	A	A0A2U2H3H7	8101253	8101252
2bm5	A	O50390	8038327	8025948
4i6m	C	P22082	8054019	8049661
1ta8	A	Q837V6	8042451	8030072
4xrp	B	C2M8N4	8091701	8045746
2kdd	A	Q53HL2	8054026	8045004
2vgl	M	P84092	8036010	8023630
5t2a	AN	Q868B1	8066021	8066020
5opt	O	Q4E0Q3	8066023	8066022
5mrc	GG	P47150	8077985	8077984
6jmk	A	P9WH29	8094841	8094840
6ogf	L	D7ZAN1	8095105	8095104
6ys5	h	D0C9P7	8097466	8097465
4v5o	AG	Q22WU7	8099236	8099235
6skg	Ai	Q5JE04	8099620	8099619
7cpv	SF	Q91V55	8106631	8106630
4tkr	A	A0A0B8R2U7	8054030	8045014
4dve	A	A2RMJ9	8054033	8050682
5d0y	A	Q1G930	8054040	8047984
5edl	A	O34738	8091272	8045641
3j6x	73	P05744	8087451	8087450
5anb	A	P34113	8098636	8098635
7otc	D	A0A140N3G7	8107398	8107397
4rax	A	E2JF22	8054044	8047297
7qco	f	A0A2S6VDZ1	8094693	8094692
7dr2	dF	P48115	8106559	8106558
3ojy	B	P07358	8052149	8052145
1wve	C	P09787	8033316	8020936
1i8o	A	P00091	8033792	8021412
1cyj	A	P08197	8036389	8024010
1cc5	A	P11732	8036454	8024075
1dw0	A	P81238	8036467	8024088
1nir	A	P24474	8036498	8024119
3cx5	D	P07143	8040304	8027925
7okb	U	A0A069Q726	8105347	8105346
2o8i	A	A9CI02	8035035	8022655
1r0v	A	O29362	8040170	8027791
1a79	A	Q58819	8044451	8032073
6kxf	C	A0A1Y1BWQ0	8096586	8096585
6rfq	O	Q6C926	8099780	8099779
7a23	e	O80800	8101483	8101482
1t3q	A	P72223	8039938	8027559
1mky	A	Q9X1F8	8019273	8019272
1w5r	A	O86309	8032881	8020501
1xkg	A	P08176	8033762	8021382
1deu	A	Q9UBR2	8034046	8021666
1cv8	A	P81297	8034052	8021672
1e2t	A	Q00267	8034069	8021689
2bu3	A	Q8YY76	8038611	8026232
1gmy	A	P07858	8042211	8029832
3znz	A	Q96BN8	8056959	8045127
3f75	A	Q6DMN0	8066297	8066296
5vpk	A	P16311	8066335	8066334
3ioq	A	Q84XA1	8066337	8066336
2wdt	A	Q8IKM8	8074120	8074119
5wch	D	Q93008	8081178	8081177
3e9s	A	P0C6U8	8091717	8051171
4rf1	A	M4STU1	8091720	8051172
6w9c	A	P0DTD1	8092567	8092566
2xu8	A	Q9I380	8101176	8046439
6z7v	A	Q8NBR6	8103488	8103487
4n6l	A	Q15828	8070219	8070218
