Accession;SimilarAccessions;DecoyCandidates
P30291;['P00519', 'P31749', 'P31751', 'P15056', 'P24941', 'P00533', 'Q05397', 'P11362', 'P08069', 'O60674', 'P10721', 'P05771', 'P06239', 'P08581', 'P28482', 'P53779', 'Q16539', 'Q02750', 'P53350', 'P00523', 'P36897', 'P30291'];['P29274', 'P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P15121', 'P10275', 'P27338', 'P56817', 'P00918', 'P21964', 'P11712', 'P08684', 'P61073', 'P0A6K3', 'P28845', 'P27487', 'P35462', 'P00374', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P20701', 'P52732', 'P09960', 'P08235', 'P45452', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'P19793', 'P23526', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P98170']
P98170;['P98170'];['P29274', 'P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P31749', 'P31751', 'P15121', 'P10275', 'P27338', 'P56817', 'P15056', 'P00918', 'P24941', 'P21964', 'P11712', 'P08684', 'P07333', 'P61073', 'P0A6K3', 'P28845', 'P27487', 'P35462', 'P00374', 'P00533', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P06239', 'P09960', 'P49137', 'P08235', 'P08581', 'P28482', 'P53779', 'Q16539', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P35968', 'P30291']
P29274;['P29274', 'P07700', 'P07550', 'P61073', 'P35462'];['P12821', 'P04058', 'P78536', 'P31749', 'P31751', 'P15121', 'P10275', 'P56817', 'P24941', 'P21964', 'P0A6K3', 'P28845', 'P00374', 'P00742', 'P08709', 'P15090', 'Q05397', 'P14324', 'P19491', 'P22756', 'P03367', 'P04585', 'P04035', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P09960', 'P49137', 'P08235', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P00523', 'P10828', 'P00760', 'Q15661', 'P0A884', 'P30291', 'P98170']
P00519;['P00519', 'P31749', 'P31751', 'P15056', 'P24941', 'P00533', 'Q05397', 'P11362', 'P08069', 'O60674', 'P10721', 'P05771', 'P06239', 'P08581', 'P28482', 'P53779', 'Q16539', 'Q02750', 'P53350', 'P00523', 'P36897', 'P30291'];['P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P15121', 'P10275', 'P21964', 'P08684', 'P61073', 'P0A6K3', 'P28845', 'P35462', 'P00374', 'P00742', 'P08709', 'P15090', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'P03367', 'P04585', 'P04035', 'P20701', 'P52732', 'P09960', 'P08235', 'P45452', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'Q02127', 'P00797', 'P19793', 'P23526', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749']
P12821;['P12821', 'P78536', 'P09960', 'P45452'];['P29274', 'P00519', 'P04058', 'P07550', 'P31749', 'P31751', 'P15121', 'P10275', 'P27338', 'P15056', 'P24941', 'P21964', 'P08684', 'P07333', 'P28845', 'P35462', 'P00374', 'P00533', 'P03372', 'Q92731', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P49137', 'P08235', 'P08581', 'P28482', 'P53779', 'Q16539', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q03181', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P0A884', 'P35968', 'P30291', 'P98170']
P04058;['P04058'];['P29274', 'P00519', 'P12821', 'P78536', 'P07700', 'P07550', 'P31749', 'P31751', 'P15121', 'P10275', 'P27338', 'P15056', 'P00918', 'P24941', 'P21964', 'P11712', 'P08684', 'P07333', 'P61073', 'P0A6K3', 'P28845', 'P27487', 'P35462', 'P00374', 'P00533', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P06239', 'P09960', 'P49137', 'P08235', 'P08581', 'P28482', 'P53779', 'Q16539', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P35968', 'P30291', 'P98170']
P78536;['P78536', 'P09960', 'P45452'];['P29274', 'P00519', 'P04058', 'P07550', 'P31749', 'P31751', 'P15121', 'P27338', 'P15056', 'P24941', 'P21964', 'P11712', 'P08684', 'P07333', 'P61073', 'P0A6K3', 'P28845', 'P35462', 'P00374', 'P00533', 'P03372', 'Q92731', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P06239', 'P49137', 'P08581', 'P28482', 'P53779', 'Q16539', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P0A884', 'P35968', 'P30291', 'P98170']
P07700;['P07700', 'P07550', 'P61073', 'P35462'];['P29274', 'P00519', 'P04058', 'P31749', 'P31751', 'P15121', 'P27338', 'P15056', 'P24941', 'P21964', 'P11712', 'P08684', 'P07333', 'P0A6K3', 'P28845', 'P00374', 'P00533', 'P03372', 'Q92731', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P06239', 'P09960', 'P49137', 'P08581', 'P28482', 'P53779', 'Q16539', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P0A884', 'P35968', 'P30291', 'P98170']
P07550;['P07550', 'P61073', 'P35462'];['P00519', 'P12821', 'P04058', 'P78536', 'P07700', 'P31749', 'P31751', 'P15121', 'P10275', 'P27338', 'P56817', 'P15056', 'P24941', 'P21964', 'P11712', 'P07333', 'P0A6K3', 'P28845', 'P27487', 'P00374', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P09960', 'P49137', 'P08235', 'P08581', 'P28482', 'P53779', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P35968', 'P30291', 'P98170']
P31749;['P31749', 'P31751', 'P15056', 'P24941', 'P00533', 'Q05397', 'P11362', 'P08069', 'O60674', 'P10721', 'P05771', 'P06239', 'P08581', 'P28482', 'P53779', 'Q16539', 'Q02750', 'P53350', 'P00523', 'P36897', 'P30291'];['P29274', 'P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P10275', 'P27338', 'P21964', 'P11712', 'P08684', 'P61073', 'P0A6K3', 'P28845', 'P35462', 'P00374', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'P03367', 'P04585', 'P04035', 'P07900', 'P20701', 'P52732', 'P09960', 'P08235', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'P19793', 'P23526', 'P10828', 'Q15661', 'P0A884', 'P00749', 'P98170']
P31751;['P31751', 'P15056', 'P24941', 'P00533', 'Q05397', 'P11362', 'P08069', 'O60674', 'P10721', 'P05771', 'P06239', 'P08581', 'P28482', 'P53779', 'Q16539', 'Q02750', 'P53350', 'P00523', 'P36897', 'P30291'];['P29274', 'P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P15121', 'P10275', 'P27338', 'P56817', 'P00918', 'P21964', 'P11712', 'P08684', 'P61073', 'P0A6K3', 'P28845', 'P27487', 'P35462', 'P00374', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P20701', 'P52732', 'P09960', 'P08235', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'P19793', 'P23526', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P98170']
P15121;['P15121'];['P29274', 'P00519', 'P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P31751', 'P21964', 'P11712', 'P08684', 'P07333', 'P61073', 'P0A6K3', 'P28845', 'P35462', 'P00374', 'P00742', 'P08709', 'P15090', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P09960', 'P49137', 'P08235', 'P53779', 'Q16539', 'Q02750', 'P29476', 'P03474', 'P14555', 'O76074', 'P00491', 'Q07869', 'Q03181', 'P06401', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'Q15661', 'P0A884', 'P00749', 'P30291', 'P98170']
P10275;['P10275', 'P03372', 'Q92731', 'P04150', 'P08235', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P19793', 'P10828'];['P29274', 'P00519', 'P12821', 'P04058', 'P07550', 'P31749', 'P31751', 'P56817', 'P15056', 'P24941', 'P21964', 'P11712', 'P07333', 'P61073', 'P0A6K3', 'P27487', 'P35462', 'P00374', 'P00533', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04062', 'P19491', 'P22756', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P06239', 'P09960', 'P49137', 'P08581', 'P28482', 'P53779', 'Q16539', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'O76074', 'P53350', 'P00491', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P23526', 'P00523', 'P36897', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P35968', 'P30291', 'P98170']
P27338;['P27338'];['P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P31749', 'P31751', 'P15056', 'P24941', 'P21964', 'P07333', 'P61073', 'P0A6K3', 'P28845', 'P00374', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P06239', 'P09960', 'P49137', 'P08235', 'P08581', 'P53779', 'Q16539', 'P45452', 'P29476', 'P03474', 'P14555', 'O76074', 'Q05769', 'P53350', 'P00491', 'P06401', 'P18031', 'P22102', 'P00489', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P35968', 'P30291', 'P98170']
P56817;['P56817', 'P03367', 'P00797'];['P29274', 'P07550', 'P31751', 'P10275', 'P21964', 'P08684', 'P07333', 'P61073', 'P0A6K3', 'P00374', 'Q92731', 'P08709', 'P15090', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'P04585', 'P04035', 'P07900', 'P35557', 'P20701', 'O60674', 'P52732', 'P10721', 'P06239', 'P49137', 'P08235', 'P28482', 'P53779', 'Q02750', 'P29476', 'P03474', 'P14555', 'O76074', 'P05979', 'Q05769', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P22102', 'P00489', 'Q02127', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P0A884', 'P30291', 'P98170']
P15056;['P15056', 'P24941', 'P00533', 'Q05397', 'P11362', 'P08069', 'O60674', 'P10721', 'P05771', 'P06239', 'P08581', 'P28482', 'P53779', 'Q16539', 'Q02750', 'P53350', 'P00523', 'P36897', 'P30291'];['P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P10275', 'P27338', 'P21964', 'P08684', 'P61073', 'P0A6K3', 'P28845', 'P35462', 'P00374', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'P03367', 'P04585', 'P04035', 'P07900', 'P20701', 'P52732', 'P09960', 'P08235', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'P19793', 'P23526', 'P10828', 'Q15661', 'P0A884', 'P00749', 'P98170']
P24941;['P24941', 'P00533', 'Q05397', 'P11362', 'P08069', 'O60674', 'P10721', 'P05771', 'P06239', 'P08581', 'P28482', 'P53779', 'Q16539', 'Q02750', 'P53350', 'P00523', 'P36897', 'P30291'];['P29274', 'P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P10275', 'P27338', 'P21964', 'P11712', 'P08684', 'P61073', 'P0A6K3', 'P28845', 'P27487', 'P35462', 'P00374', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'P03367', 'P04585', 'P04035', 'P07900', 'P20701', 'P52732', 'P09960', 'P08235', 'P45452', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'Q02127', 'P00797', 'P19793', 'P23526', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P98170']
P21964;['P21964'];['P29274', 'P00519', 'P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P31749', 'P31751', 'P15121', 'P10275', 'P27338', 'P56817', 'P15056', 'P00918', 'P24941', 'P11712', 'P08684', 'P07333', 'P61073', 'P0A6K3', 'P28845', 'P27487', 'P35462', 'P00374', 'P00533', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P06239', 'P09960', 'P49137', 'P08235', 'P08581', 'P28482', 'P53779', 'Q16539', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P35968', 'P30291', 'P98170']
P11712;['P11712', 'P08684'];['P04058', 'P78536', 'P07700', 'P07550', 'P31749', 'P31751', 'P15121', 'P10275', 'P24941', 'P21964', 'P61073', 'P0A6K3', 'P00374', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P05771', 'P09960', 'P49137', 'P08235', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P30291', 'P98170']
P08684;['P08684'];['P00519', 'P12821', 'P04058', 'P78536', 'P07700', 'P31749', 'P31751', 'P15121', 'P56817', 'P15056', 'P24941', 'P21964', 'P61073', 'P0A6K3', 'P00374', 'P08709', 'P15090', 'Q05397', 'P14324', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P05771', 'P09960', 'P49137', 'P08581', 'P53779', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P30291', 'P98170']
P61073;['P61073', 'P35462'];['P29274', 'P00519', 'P04058', 'P78536', 'P07700', 'P07550', 'P31749', 'P31751', 'P15121', 'P10275', 'P27338', 'P56817', 'P15056', 'P00918', 'P24941', 'P21964', 'P11712', 'P08684', 'P07333', 'P28845', 'P27487', 'P00374', 'P00533', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P06239', 'P09960', 'P49137', 'P08235', 'P08581', 'P28482', 'P53779', 'Q16539', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P35968', 'P30291', 'P98170']
P0A6K3;['P0A6K3'];['P29274', 'P00519', 'P04058', 'P78536', 'P07700', 'P07550', 'P31749', 'P31751', 'P15121', 'P10275', 'P27338', 'P56817', 'P15056', 'P00918', 'P24941', 'P21964', 'P11712', 'P08684', 'P07333', 'P28845', 'P27487', 'P35462', 'P00374', 'P00533', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P06239', 'P09960', 'P49137', 'P08235', 'P08581', 'P28482', 'P53779', 'Q16539', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P35968', 'P30291', 'P98170']
P28845;['P28845', 'P9WGR0'];['P29274', 'P00519', 'P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P31749', 'P31751', 'P15121', 'P27338', 'P15056', 'P24941', 'P21964', 'P07333', 'P61073', 'P0A6K3', 'P27487', 'P35462', 'P00374', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P06239', 'P09960', 'P49137', 'P08581', 'P28482', 'P53779', 'Q16539', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P22102', 'Q02127', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P35968', 'P30291', 'P98170']
P35462;['P35462'];['P00519', 'P12821', 'P04058', 'P78536', 'P07700', 'P31749', 'P31751', 'P15121', 'P10275', 'P15056', 'P24941', 'P21964', 'P07333', 'P61073', 'P0A6K3', 'P28845', 'P27487', 'P00374', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P09960', 'P49137', 'P08235', 'P08581', 'P53779', 'P45452', 'Q02750', 'P03474', 'P14555', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P06401', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P23526', 'P00523', 'P36897', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P35968', 'P30291', 'P98170']
P00374;['P00374'];['P29274', 'P00519', 'P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P31749', 'P31751', 'P15121', 'P10275', 'P27338', 'P56817', 'P15056', 'P00918', 'P24941', 'P21964', 'P11712', 'P08684', 'P07333', 'P61073', 'P0A6K3', 'P28845', 'P27487', 'P35462', 'P03372', 'Q92731', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P04150', 'P04062', 'P19491', 'P22756', 'Q92769', 'Q9BY41', 'P12497', 'P03367', 'P04585', 'P04035', 'P07900', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P05771', 'P06239', 'P09960', 'P49137', 'P08235', 'P08581', 'P28482', 'P53779', 'Q16539', 'P45452', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'P05979', 'Q05769', 'P53350', 'P00491', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P18031', 'P00489', 'P00797', 'Q13464', 'P19793', 'P23526', 'P00523', 'P36897', 'P10828', 'P00734', 'P00760', 'Q15661', 'P00749', 'P30291', 'P98170']
P00533;['P00533', 'Q05397', 'P11362', 'P08069', 'O60674', 'P10721', 'P05771', 'P06239', 'P08581', 'P28482', 'P53779', 'Q16539', 'Q02750', 'P53350', 'P00523', 'P36897', 'P30291'];['P12821', 'P04058', 'P78536', 'P07700', 'P10275', 'P21964', 'P61073', 'P0A6K3', 'P00742', 'P08709', 'P15090', 'P14324', 'P19491', 'P22756', 'P03367', 'P04585', 'P04035', 'P07900', 'P20701', 'P52732', 'P08235', 'P29476', 'P03474', 'P14555', 'O76074', 'Q05769', 'P00491', 'Q07869', 'Q03181', 'P06401', 'P18031', 'P22102', 'Q02127', 'P00797', 'P19793', 'P23526', 'P10828', 'Q15661', 'P0A884', 'P00749', 'P98170']
P03372;['P03372', 'Q92731', 'P04150', 'P08235', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P19793', 'P10828'];['P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P31749', 'P31751', 'P15056', 'P24941', 'P21964', 'P07333', 'P61073', 'P0A6K3', 'P28845', 'P00374', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P19491', 'P22756', 'Q92769', 'P03367', 'P04585', 'P04035', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P09960', 'P49137', 'P08581', 'P53779', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'O76074', 'Q05769', 'P53350', 'P00491', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P23526', 'P00523', 'P36897', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P30291', 'P98170']
Q92731;['Q92731', 'P04150', 'P08235', 'Q07869', 'Q03181', 'P37231', 'P06401', 'P19793', 'P10828'];['P12821', 'P04058', 'P78536', 'P07700', 'P07550', 'P31749', 'P31751', 'P56817', 'P15056', 'P24941', 'P21964', 'P07333', 'P61073', 'P0A6K3', 'P28845', 'P00374', 'P00742', 'P08709', 'P15090', 'Q05397', 'P11362', 'P14324', 'P19491', 'P22756', 'Q92769', 'P03367', 'P04585', 'P04035', 'P35557', 'P08069', 'P9WGR0', 'P20701', 'O60674', 'P52732', 'P10721', 'P09960', 'P49137', 'P08581', 'P53779', 'Q02750', 'P29476', 'P03474', 'P14555', 'P09874', 'P05979', 'Q05769', 'P53350', 'P00491', 'P18031', 'P22102', 'P00489', 'Q02127', 'P00797', 'Q13464', 'P23526', 'P00523', 'P36897', 'P00734', 'P00760', 'Q15661', 'P0A884', 'P00749', 'P35968', 'P30291', 'P98170']
